# L TT EE BB TE PP
6.00000000e+01 2.19721957e-10 2.82422665e-14 1.55948203e-16 -2.57249208e-13 1.28340452e-07
6.10000000e+01 2.22711513e-10 2.96777332e-14 1.61197085e-16 -3.00513404e-13 1.27702932e-07
6.20000000e+01 2.25726323e-10 3.11502806e-14 1.66531953e-16 -3.45496602e-13 1.27057883e-07
6.30000000e+01 2.28768864e-10 3.26596314e-14 1.71952778e-16 -3.92209878e-13 1.26406328e-07
6.40000000e+01 2.31839611e-10 3.42054082e-14 1.77459547e-16 -4.40663305e-13 1.25749199e-07
6.50000000e+01 2.34942041e-10 3.57875339e-14 1.83052265e-16 -4.90874954e-13 1.25087590e-07
6.60000000e+01 2.38081178e-10 3.74050234e-14 1.88730956e-16 -5.42872236e-13 1.24422379e-07
6.70000000e+01 2.41254245e-10 3.90568610e-14 1.94495663e-16 -5.96606924e-13 1.23754125e-07
6.80000000e+01 2.44456016e-10 4.07416232e-14 2.00346450e-16 -6.52011131e-13 1.23083263e-07
6.90000000e+01 2.47680263e-10 4.24581868e-14 2.06283399e-16 -7.09020970e-13 1.22410239e-07
7.00000000e+01 2.50922758e-10 4.42055283e-14 2.12306616e-16 -7.67598550e-13 1.21735502e-07
7.10000000e+01 2.54180394e-10 4.59829879e-14 2.18416224e-16 -8.27739844e-13 1.21059441e-07
7.20000000e+01 2.57468545e-10 4.77900594e-14 2.24612369e-16 -8.89553278e-13 1.20382148e-07
7.30000000e+01 2.60802705e-10 4.96261000e-14 2.30895217e-16 -9.53146140e-13 1.19703642e-07
7.40000000e+01 2.64184371e-10 5.14896673e-14 2.37264955e-16 -1.01848172e-12 1.19023971e-07
7.50000000e+01 2.67614034e-10 5.33792185e-14 2.43721788e-16 -1.08547830e-12 1.18343086e-07
7.60000000e+01 2.71085904e-10 5.52929355e-14 2.50265944e-16 -1.15404464e-12 1.17661140e-07
7.70000000e+01 2.74583034e-10 5.72294967e-14 2.56897668e-16 -1.22397938e-12 1.16978493e-07
7.80000000e+01 2.78103191e-10 5.91874046e-14 2.63617223e-16 -1.29521861e-12 1.16295501e-07
7.90000000e+01 2.81652144e-10 6.11652622e-14 2.70424892e-16 -1.36773845e-12 1.15612614e-07
8.00000000e+01 2.85232659e-10 6.31616723e-14 2.77320974e-16 -1.44153498e-12 1.14930241e-07
8.10000000e+01 2.88847857e-10 6.51751888e-14 2.84305785e-16 -1.51657642e-12 1.14248740e-07
8.20000000e+01 2.92499269e-10 6.72043678e-14 2.91379655e-16 -1.59281930e-12 1.13568436e-07
8.30000000e+01 2.96183780e-10 6.92475164e-14 2.98542932e-16 -1.67024226e-12 1.12889598e-07
8.40000000e+01 2.99901277e-10 7.13030416e-14 3.05795974e-16 -1.74878395e-12 1.12212448e-07
8.50000000e+01 3.03650643e-10 7.33692511e-14 3.13139155e-16 -1.82843302e-12 1.11537335e-07
8.60000000e+01 3.07431347e-10 7.54447481e-14 3.20572860e-16 -1.90912068e-12 1.10864431e-07
8.70000000e+01 3.11239190e-10 7.75277194e-14 3.28097485e-16 -1.99077850e-12 1.10193946e-07
8.80000000e+01 3.15071554e-10 7.96164480e-14 3.35713436e-16 -2.07333065e-12 1.09525988e-07
8.90000000e+01 3.18929824e-10 8.17092169e-14 3.43421131e-16 -2.15671126e-12 1.08860719e-07
9.00000000e+01 3.22814383e-10 8.38037094e-14 3.51220993e-16 -2.24087450e-12 1.08198275e-07
9.10000000e+01 3.26726558e-10 8.58981353e-14 3.59113457e-16 -2.32574564e-12 1.07538764e-07
